Time (s),Voltage (V),State of Charge
0.0,3.7800836161685374,1.0
0.012091411612090595,3.7800685920024297,0.9999966412745522
0.02418282322418119,3.780053657230124,0.9999932825491044
0.04836564644836238,3.7800240019277846,0.9999865650982088
0.09673129289672476,3.7799657495599877,0.9999731301964175
0.19346258579344952,3.7798529932175104,0.9999462603928352
0.38692517158689904,3.7796414765975808,0.9998925207856703
0.7738503431737981,3.7792642050337975,0.9997850415713406
1.5477006863475962,3.7786394206591494,0.9995700831426813
2.321551029521394,3.7781407369927225,0.9993551247140219
3.86925171586899,3.777331296089983,0.998925207856703
5.4169524022165865,3.7766917904856707,0.9984952909993843
6.964653088564183,3.7761447472850938,0.9980653741420655
10.060054461259375,3.775183301371513,0.9972055404274279
13.155455833954568,3.7743556829905263,0.9963457067127904
16.25085720664976,3.7736119327875475,0.9954858729981528
19.34625857934495,3.772925266557392,0.9946260392835153
25.537061324735337,3.7716790904490884,0.9929063718542401
31.727864070125722,3.7705349773196195,0.991186704424965
42.48267342528004,3.7686901514538547,0.9881992573818666
52.162001844918926,3.7671646311957767,0.985510555043078
61.84133026455781,3.765728848794627,0.9828218527042895
71.5206586841967,3.7643584626529933,0.980133150365501
81.1999871038356,3.7630374874422685,0.9774444480267124
100.55864394311337,3.760511006094758,0.9720670433491352
119.91730078239114,3.758088450538156,0.966689638671558
139.2759576216689,3.755735710709305,0.9613122339939809
158.6346144609467,3.753439370723716,0.9559348293164037
177.99327130022448,3.7511930301355845,0.9505574246388265
197.35192813950226,3.7489902577449192,0.9451800199612493
216.71058497878005,3.7468244970772924,0.9398026152836723
236.06924181805783,3.7446912106993175,0.9344252106060951
255.42789865733562,3.7425888333957307,0.9290478059285179
274.7865554966134,3.7405174141171718,0.9236704012509408
313.503869175169,3.736464998395584,0.9129155918957864
352.22118285372454,3.7325364099206393,0.9021607825406321
390.9384965322801,3.728732562618965,0.8914059731854778
429.6558102108357,3.7250539323469165,0.8806511638303235
468.37312388939125,3.7215012653542057,0.8698963544751692
507.0904375679468,3.7180750110416114,0.8591415451200148
584.5250649250579,3.7115990505976866,0.8376319264097062
661.959692282169,3.7056146595011725,0.8161223076993975
739.3943196392802,3.70010005715124,0.794612688989089
816.8289469963913,3.695026304991032,0.7731030702787803
894.2635743535025,3.690359413996848,0.7515934515684717
1049.1328290677247,3.682079441036793,0.7085742141478544
1204.002083781947,3.674790508538738,0.6655549767272372
1513.7405932103914,3.657207195771979,0.5795165018860027
2133.2176120672802,3.6172504840177417,0.40743955220353345
3372.1716497810576,3.531349979699948,0.06328565283859533
3600.0,3.191547652103482,3.3306690738754696e-16
